'sambal dried shrimp','easy',6,15,15,'Nyonya','Appetizer','oven','roast','Seafood','dried shrimps;Nyonya Sambal chilly;fine sugar;lime leaves','300g dried shrimps; 2 tablespoons Nonya Sambal chilly; 1 teaspoon fine sugar; 2 kaffir lime leaves',"'1. Heat oven to 150∞C. ;2. Rinse dried shrimp. Dry with paper towels. ;3. Put dried shrimp into a food processor. Blitz until coarsely chopped. ;4. Place on oven tray, sprayed first with oil and add sambal chilly (and sugar, if using). Using a spoon, rub sambal well in till evenly mixed; the even red colour will indicate that the mixing has been done. ;5. Roast mixture in the oven for about 15 minutes or till golden brown. Scatter kaffir lime leaves at the end. Stir in and leave in the oven with the heat turned off for a few more minutes. ;6. Remove tray from the oven and cool. ;7. Place cooled dried shrimp into sterilised bottles. '",'Halal; NoNuts; Spicy'
'Vegetarian Nyonya rice dumpling','hard',18,210,135,'Nyonya','Appetizer','wok','boil','Vegetable','vegetarian chicken;cooking oil;glutinous rice;blue pea flower;hemp string;pandan leaves;salt;dried bamboo leaves;biryani powder;water;mushroom stock;brown sugar;winter melon;dried chilly;lemongrass;blue ginger;turmeric','350g vegetarian chicken;125ml cooking oil;500g glutinous rice;15 stalks blue pea flower;5 meters hemp string;8 pandan leaves;0.5 teaspoons of salt;36 pcs dried bamboo leaves;2 tablespoons or 12g biryani powder;2 tablespoons water;2 teaspoons mushroom stock;50g brown sugar;50g winter melon;15 stalks dried chilly;45g 2 stalks of fresh lemongrass;15g fresh blue ginger;15g fresh turmeric',"'1. Rinse the rice and then soak 350g in clear water for 3 hours. ;2. Pound the blue pea flower to extract the colour and add it to the rest of the rice. Soak for 3 hours. ;3. An hour in, soak the dried bamboo leaves in a separate container and then wash them clean. ;4. To prepare filling, chop the mock chicken meat ó coarsely or cubed to your preference. Heat 2 tablespoons of oil and saute for approximately 30 seconds, then remove from wok. ;5. Finely ground the spice paste and mix the biryani powder with 2 tablespoons of water to make another paste. Heat the rest of the oil and saute the spice paste until fragrant. Then add in the biryani paste and saute for 30 seconds. ;6. Add to the paste mixture the mushroom powder, brown sugar, winter melon and mix in chicken meat. Turn off the heat and set aside to cool. ;7. To wrap the dumplings: take two washed bamboo leaves and fold one end to form a cone. ;8. Line the cone with about 1 tablespoon of the blue glutinous rice and top with some plain glutinous rice, spreading it out evenly to the shape of the cone. ;9. Place 2 heaped tablespoons of filling in the rice before covering the filling with more rice. ;10. Top the rice with a pandan leaf, and then using the palm of your free hand, press down to compress the dumpling. ;11. Wrap the dumpling up following the natural lines of the leaves. Make sure there are no holes. ;12. Tie tightly with the hemp string and repeat until all dumplings are tied. The first one usually looks the ugliest ó it does get better. ;13. Bring a large pot of water to a boil, add salt and leave the dumplings in rapidly boiling water for 2ñ21/4 hours. ;14. Once cooked, hang dumplings to drip off excess water before storing or eating. '",'Halal; Vegetarian; NoNuts'
'Capsicum stuffed with rice salad recipe','easy',4,10,25,'Asian','Main Course','oven','bake','Vegetable','yellow capsicums;cooked rice;French beans;canned corn kernels;tomato;extra virgin olive oil; Salt;pepper;coriander;shredded cheese','4 large yellow capsicums; 2 cups cooked rice; 80g French beans; 100g canned corn kernels; 1 large tomato; 4 tablespoons extra virgin olive oil; 0.5 teaspoon of salt; 0.5 teaspoon of pepper; 10g coriander; 100g shredded cheese',"'1. Preheat the oven to 180∞C. Blanch the French beans in slightly salted boiling water for 30 seconds before draining and dicing. In a large mixing bowl, add the rice, diced French beans, corn kernels, diced tomato, olive oil, coriander and stir to combine. Add salt and pepper to taste. ;2. Carefully slice the top of the yellow capsicums off and reserve the tops as garnishes. With your fingers, remove most of the seeds and white membrane in the core of the capsicums. Tap out all any remaining seeds. ;3. Stuff each capsicum with the rice salad. Top off with the shredded cheese if desired. ;4. Top off with the shredded cheese if desired. ;5. Bake in the preheated oven for about 20 minutes until the capsicum turns slightly soft or when the cheese starts browning.'",'Vegetarian; Healthy; NoNuts'
'Nonya chicken curry recipe','easy',6,35,30,'Nyonya','Main Course','wok','stir fry','Chicken','chicken;meat curry powder;chilly powder;cooking oil;potato;water;curry leaf;coconut milk;tamarind peel;salt2 stalks lemon grass;cinnamon stick;anise;cardamon;shallots;garlic;ginger','750g chicken;2 tablespoons meat curry powder;2 heaped teaspoons chilly powder;2 tablespoons cooking oil;2 potatoes;500ml water1 spring curry leaf;250ml coconut milk;1 piece tamarind peel;2 teaspoons of salt;2 stalks lemon grass;1.5cm cinnamon stick;1 star anise;2 cardamons;3 shallots;1 clove garlic;5g young ginger',"'1. Marinate chicken with curry powder, chilly powder and salt. Set aside for 30 minutes in the refrigerator. ;2. Heat oil, add in bruised lemon grass and spice ingredients until oil sizzles (about 10 seconds). ;3. Add in ground ingredients and stir fry till fragrant, stirring continuously to prevent the ingredients from burning. ;4. Add in chicken, sautÈ further until fragrant (about 5-10 minutes). ;5. Add water, potatoes and curry leaves. ;6. Simmer over medium heat until chicken is tender and potatoes are soft. ;7. Add in coconut milk, tamarind peel, bring to a boil and season to taste. ;8. Turn off heat and serve with steamed white rice. '",'Halal; NoNuts'
'Peranakan-Hokkien popiah','medium',10,60,30,'Nyonya','Main Course','wok','boil','Seafood','small prawn;garlic;White cabbage;green bean;leeks;carrot;Chinese mushrooms;light soy sauce;salt;Pepper;sugar;Popiah skin;Chinese lettuce;Chinese sausages;egg;cucumber;bean sprout;coriander;Fried garlic;roasted peanuts;Sweet black soy sauce;garlic paste;red chilly','500g small prawns; 4 tablespoons garlic; 1 White cabbage; 2 cups green beans; 5 stalks leeks; 2 carrots; 10 Chinese mushrooms; 2 tablespoons light soy sauce; 1 teaspoon salt; Pepper; 1 tablespoon sugar;1kg Popiah skins; 5 heads Chinese lettuce; 4 Chinese sausages; 6 eggs; 2 cucumbers; 500g bean sprouts; 5 bunches fresh coriander; 100g Fried garlic; 1 cup roasted peanuts; 0.5 teaspoon of sweet black soy sauce; 0.5 teaspoon of Fresh garlic paste; 20 red chilly',"'1. Peel prawns and reserve meat. Place shells in a pot, cover with water and boil for 30 minutes to make prawn stock. Strain stock and leave aside. ;2. Heat 2 tablespoons of oil in a large wok and sautÈ garlic till fragrant. ;3. Add the mushrooms and carrots, followed by shredded cabbage, green beans and leeks. ;4. Mix well, then add the reserved prawn and mushroom stocks, then the peeled prawns. ;5. Braise, turning often to prevent burning, till vegetables soften. ;6. Season with the salt, pepper, soy sauce. Taste and adjust if needed. Add sugar, if liked. ;7. To assemble: Place one flour skin on a plate. Spread a little garlic paste, sweet soy sauce and chilly on one side of the skin. ;8. Lay a lettuce leaf in the centre. Place a spoonful or two of the filling, squeezed dry of gravy. ;9. Top with sausage and egg. Add another layer of fresh vegetables: bean sprouts, cucumber and coriander, to protect further. Scatter fried garlic and peanuts over. ;10. Wrap by rolling one end of the wrapper over the filling, folding in the two ends and rolling up like a bolster! Cut and serve. '",'Halal; Spicy'
'Spicy & Sour Fish Curry','medium',10,20,20,'Nyonya','Main Course','pot','boil','Seafood','Cooking Oil;water;tamarind pulp;Mackerel;Kaffir Lime Leaves;Sugar;Salt;Lady Finger;dried chillye;shallot;garlic;candlenut;turmeric;galangal;lemongrass;belachan','175ml Cooking Oil;750ml water;75g tamarind pulp;900g Mackerel - sliced into 11/2 inch pieces;2 Kaffir Lime Leaves (optional);0.5 teaspoon Sugar;2.5 teaspoon Salt;20 young Lady Fingers / Okra;20 Dried chilly - soaked in water and drained;18 Shallots - peeled;2 cloves Garlic - peeled;5 Candlenuts (Buah Keras);0.5 inch Fresh Turmeric (Kunyit) - peeled;1 inch Galangal (Lengkuas) - peeled;4 stalks Lemongrass - sliced;1.5 teaspoon belachan',"'1.Heat the cooking oil and fry finely ground paste until fragrant.;2.Add the tamarind juice (water+tamarind pulp) and bring to a boil. Simmer for 4 minutes. ;3.Increase the heat and add fish, kaffir lime leaves, sugar and salt. Cook for 4 minutes.;4.Add ladies fingers and cooked for another 5 minutes until the fish is done and ladies fingers are tender. '",'Halal; Spicy'
'Sago Pudding With Palm Sugar','easy',4,10,10,'Nyonya','Dessert','pot','boil','Sweet','Sago Pearl;Gula Melaka;Coconut Milk;Pandan Leaf;Water;Salt','200g Sago Pearl;200g Gula Melaka (Palm Sugar);250ml Coconut Milk;1 Pandan Leaf (Screwpine Leaf)- shred with a fork & tie into a knot;700ml  Water;0.5 teaspoons of Salt',"'1.Bring water in a medium pot to boil and add in sago. Cook about 10 minutes until sago pearls become translucent (no more white dot in the middle) and stir constantly.;2.The water will turn starchy, strain the sago in a sieve and wash away excess starch in running cold water.;3.Scoop sago pearls into individual small glasses and Put in the fridge to chill.;4.In a small pot, pour in coconut milk with the pandan leaf and a pinch of salt. Boil at low heat and stir constantly. When it starts to boil, remove from heat and strain into a bowl then set aside to cool.;5.In another saucepan, melt the gula melaka with 2 tablespoons of water on a low heat. Once become it become syrup, set aside to chill.;6.Serve sago with drizzle of palm sugar syrup and coconut milk. '",'Halal; Vegetarian; NoNuts'
'Nonya style yu sheng','easy',6,30,25,'Asian','Dessert','wok','pan fry','Seafood','yam bean;guava;cucumber;carrot;green papaya;pomelo sac;rice flour;tapioca flour;egg;water;salt;sugar;small prawn;galangal;birdís eye chilly;fresh red chilly;plum sauce;salt;cooking oil;crushed fried peanuts;toasted sesame seeds','1 small yam bean;1 guava;1 cucumber;1 carrot;0.5 green papaya;1 cup peeled pomelo sacs;80g rice flour; 80g tapioca flour; 1 egg; 300ml water; 1 teaspoon salt; 1 teaspoon sugar; 200g small prawns;20g galangal; 5 stalks birdís eye chilly; 1 stalk fresh red chilly; 300ml plum sauce; 1 teaspoon salt; 2 teaspoons cooking oil; 5 tablespoons crushed fried peanuts; 1 tablespoon toasted sesame seeds',"'1. Fritters: Combine dry sifted ingredients in a bowl. Make a well in the centre, slowly whisk in egg, water, salt and sugar. Mix until a smooth batter is achieved. Add prawns. ;2. Heat oil in a wok, over medium heat pour a ladleful of batter into wok. A large round fritter will emerge. Slowly fry until brown, remove and drain onto paper towel. ;3. Repeat until all the batter is used up. ;4. When fitters are cool, keep in an airtight container. ;1. Sauce: Using an electric blender, finely blend galangal, birdís eye chilly and chilly until fine, adding a little water if necessary to move the blades. ;2. Combine the ground spice paste with plum sauce, salt and oil, adjusting salt to taste. Add the crushed peanuts and sesame seeds. Set aside. ;1. Salad: Peel the pomelo and discard the skin to yield only the sacs, set aside. ;2. In a serving platter, mix yam, guava, cucumber, carrot, papaya (pick a slightly green and firm one), pomelo and crispy prawns. ;3. Drizzle sauce over, top with celery leaves, extra crushed peanuts and sesame seeds. '",'Healthy; Spicy'
'Assam puteh','easy',4,15,30,'Nyonya','Main Course','pot','boil ','Fish','horse mackerel;tamarind paste;dried shrimp paste;lemongrass;chilly;onion;lime leave;salt;sugar;line','4 medium-sized ikan selar or horse mackerel; 1 tablespoon tamarind paste; 1 teaspoon dried shrimp paste; 1 stalk lemongrass; 3 red chilly; 1/2 onion; 4 whole kaffir lime leaves; 1/2 teaspoon salt; 1/2 teaspoon sugar;1 lime',"'1. Prepare the tamarind water by mixing the paste in 4-5 cups of water. Strain to rid it of seeds and grit. You want a thin infusion. ;2. Bring tamarind water to the boil in a pot together with the belacan and lemongrass stalk. ;3. When boiling, add in the onion rings, red chilly and kaffir lime leaves. Season with salt and sugar. ;4. Add the fish and turn off the heat as soon as it begins to boil again. ;5. Serve at once with warm plain rice and some lime quarters on the side. '",'Halal; NoNuts; Spicy'
'Vegetarian samosa','easy',10,15,20,'Indian','Main Course','wok','stir fry','Vegetable','spring roll wrappers;flour;cooking oil;curry Leaves;mustard seed;cumin; garlic;onion; fish curry powder; pumpkin; water; green peas; coconut milk; sugar; salt','20 pieces spring roll wrappers; 3 tablespoons plain flour; cooking oil;2 tablespoons cooking oil ; 2 springs curry Leaves ; 1 teaspoon mustard seeds ; 1/4 teaspoon cumin ; 1 clove garlic; 1 big onion; 3 tablespoons fish curry powder; 350 g pumpkin; 80 ml water; 50 g green peas; 2 tablespoons coconut milk ; 1 teaspoon sugar ; 1 teaspoon salt',"'1. Filling: Heat oil in a pan; add in spices till oil sizzles. ;2. Add garlic, onions and curry leaves and sautÈ until onions become limp. ;3. Add in curry paste and sautÈ till fragrant, adding in pumpkin and water. ;4. Cook until pumpkin is soft about (5-8 minutes). ;5. Mix in green peas, coconut milk and season to taste. ;6. Once mixture comes to a boil and turns dry, turn off the heat. Make sure the filling is dry before turning off the heat or youíll end up with soggy samosa. ;7. Set aside to cool before wrapping. ;1. Wrapping: Place a spring roll wrapper on a clean surface. ;2. Top with 1-2 tablespoons of filling. Working from the bottom of the sheet, fold 2cm up in a straight horizontal line sealing edges with binding paste. ;3. From the top left hand corner, wrap over, creating a sharp corner on the left ending the sides at the horizontal line, then wrap over the right hand corner to form a triangle, sealing the edges with binding paste. ;4. Repeat with the remaining filling. ;5. Pre-heat cooking oil in a wok or deep-fryer and deep fry samosas until golden brown. Remove and drain on paper towels before serving warm.'",'NoNuts'
